                                               comment  label
0    [1《复联3》讲的是一个猪队友顺风浪了一波，然后被团灭了的故事。呵呵，卡魔拉真倒霉，爸爸是个...      1
1    [2混沌初开，宇宙出现了六颗象征尊贵身份的宝石，一旦集齐就有毁天灭地的能力。它们分别是QQ空...      1
2                                     [3为什么不砍手？？？？？？？]      1
3    [4大家好，我是灭霸，我的手套被扣在海关了，急需要200元交罚款，如果你5月11愿意发红包给...      1
4    [5灭霸是一个有情怀的无产主义者，不惜牺牲此生最爱来整治这个混乱而拥挤不堪的宇宙，整治完了也...      0
5    [6景甜出场的那一瞬间真的太震撼了，打趴下灭霸的时候全场都起立鼓掌了，美队把自己的盾牌给了景...      1
6                                   [7一顿操作猛如虎 一个指响秒变土]      1
7    [8Fxxking Amazing！你以为在看妇联3，发现原来在看银护3！你以为在看银护3，...      1
8                   [9两个福尔摩斯跑来纽约玩Cosplay不务正业，案子不用查了吗？]      1
9                                 [10下一部：《复仇者联盟：逆转未来》]      1
10                           [11《灭霸：后来我什么都有了，但是没有了我们》]      1
11   [12韩国今天看完，无剧透：1：彩蛋只有字幕全部结束后的1个。2：非常震撼，刺激，过瘾，喝可...      1
12   [13洛基开局反野被拿一血，幻视下路送人头，雷神猥琐发育败方mvp，美队黑寡妇黑豹艰难保护我...      1
13   [14洛基卡魔拉星爵奇异博士绯红女巫其实都有机会阻止灭霸成为QQ钻皇，可生死抉择之时他们还是...      1
14   [15日啊这哪是妇联3，分明就是灭霸传啊！二十多个超级英雄三条故事线，全部在给灭霸打牙祭。虫...      1
15    [16我中途幻想的这片的结尾，是灭霸成功打响指，宇宙的一半开始毁灭，第一个消失的，就是灭霸自己]      1
16      [17居然没有让Samuel Jackson说完Motherfucker就让他领饭盒了！！]      1
17   [18请大家想一想，古今中外，不论是《但丁密码》还是《血色星期一》获得了知识与力量的大反派们...      1
18   [19大荧幕上曾经有这样一个传统，叫做“主角光环”。今日今时，感谢这一传统的消忘，以及反派的...      1
19   [20每一條故事線都出現「一命換一石」之兩難，人人為了所愛要半個宇宙陪葬。生命有貴賤，天佑愛...      1
20   [21结局简直丧出天际！灭霸竟然有内心戏！全程下来美队和钢铁侠也没见上一面，我还以为在世界末...      1
21                            [22所以说办公室恋情会坏事…本来都翻盘了的…]      0
22   [23这种无限膨胀且不着边际的意淫题材，终将只能满足观众们少儿般天真烂漫的幻想，同样也止步于此。]      1
23                                  [24最大的笑话大概是灭霸的眼泪？]      0
24                                 [25众英雄靠什么打败灭霸？集体尬舞]      1
25                                   [26美队护钻忙，灭霸单手我来扛]      1
26             [27复联三内地5.11上映，北美4.27。如果美队死了，我连头七都赶不上。]      1
27   [28？？？？？？不是漫威脑残粉就别来吃屎了。这个电影逻辑节奏一泡污，除了灭霸以外几乎没有角...      1
28   [29灭霸是一个高尚的人，是一个脱离了私人恩怨、脱离了近身肉搏、脱离了低级趣味的人... 等...      1
29   [30一直以为自己是漫威的路人，但看完《复联3》才知道漫威最强大的地方就是把每个人物都润物无...      1
..                                                 ...    ...
190                                       [191反对计划生育。]      1
191              [192漫威不要脸，到底谁死了，谁没死，谁真死，谁假死，把话说清楚再走！]      1
192  [193一场从一千四百万零六百零五种可能性里寻求唯一解的游戏。紧凑到完全没有反应时间，可以挂...      1
193                       [194一个马尔萨斯学派的super villain。]      1
194         [195本质上灭霸也没错，走的还是可持续发展的道路。最后就是灭霸幸福的看日出日落？]      1
195       [196超级英雄系列就是看个视觉特效的，故事性意外还行，结局也停在该停的地方没有多余。]      1
196                 [197看完毫不犹豫的5星，太赞了，特效炫酷，致我心中永远的英雄！]      1
197  [198能让我熬大夜的，就你了。真是给十年粉的云霄飞车，全程按捺不住的激动与揪心。一次亮相，...      1
198  [199一部极高风险的作品但显然只拍了一半，如此多角色的多线程安排令剪辑几乎崩溃了，但漫威这...      1
199  [200要什么逻辑，有情怀就好了啊！不要问下次人口又生到这么多该怎么办！不要问为什么奇异博士...      1
